dia,consideracion,cita_autor,cita_texto,cita_referencia
1,"El tema del ayuno llena de expectativas a la gente. Cuando le he planteado a algunos de mis pacientes la posibilidad y la necesidad de emprender un ayuno, siempre se preguntan algo como esto: ¿Me puedo curar pasando hambre? ¿Me pondré peor? ¿Me moriré en el intento? Y miles de preguntas parecidas más. Aun cuando el ayuno es algo milenario y los animales salvajes instintivamente lo practican cuando se enferman, siempre tendremos dudas. Hasta que algún día vivamos la experiencia. Quiero referirme ...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"El tema del ayuno llena de expectativas a la gente. Cuando le he planteado a algunos de mis pacientes la posibilidad y la necesidad de emprender un ayuno, siempre se preguntan algo como esto: ¿Me pued...","La Curación por El Ayuno, s/f"
2,"Una vez expuestos estos tres asuntos, me referiré a una obra extraordinaria, escrita a comienzos del siglo 20 por un ciudadano ruso, quien vivió gran parte de su vida en Serbia, y quien fue un personaje muy famoso en su época, tanto por sus curaciones como por las teorías que esbozó para explicar sus observaciones. Me refiero a Alexi Suvorin. Su libro La Curación por El Ayuno, sirve aun de motivación y referencia para las personas que anhelan encontrar su salud, la cual, generalmente, han esta...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"Una vez expuestos estos tres asuntos, me referiré a una obra extraordinaria, escrita a comienzos del siglo 20 por un ciudadano ruso, quien vivió gran parte de su vida en Serbia, y quien fue un persona...","La Curación por El Ayuno, s/f"
3,"El Ayuno en La Historia Los animales salvajes usan el ayuno, bien voluntariamente o forzados por la escasez. Siendo un muchacho, vi un documental de Walt Disney, donde se veía a un lobo, el cual fue herido en una pata por un cazador, en animal se refugió en una cueva por donde pasaba una corriente de agua. Sumergió su pata en el barro de la corriente y no se movió de allí en varios días. Su única comida y bebida fue el agua que pasaba delante de él, y se estuvo allí, vigilado por cámaras ocultas...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"El Ayuno en La Historia Los animales salvajes usan el ayuno, bien voluntariamente o forzados por la escasez. Siendo un muchacho, vi un documental de Walt Disney, donde se veía a un lobo, el cual fue h...","La Curación por El Ayuno, s/f"
4,"El día más sagrado y más solemne del año para los judíos es el día del Yom Kippur o “día del arrepentimiento”, considerado el día más santo. Su tema central es la expiación y la reconciliación. Comer, beber, bañarse, y tener relaciones sexuales está prohibido ese día. Los judíos instituyeron otros cuatro días de ayuno: el ayuno en el cuarto mes (el día noveno de Tammuz, cuando las murallas de Jerusalén fueron tomadas por los babilonios y destruido su templo); el ayuno del quinto mes (cuando el T...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"El día más sagrado y más solemne del año para los judíos es el día del Yom Kippur o “día del arrepentimiento”, considerado el día más santo. Su tema central es la expiación y la reconciliación. Comer,...","La Curación por El Ayuno, s/f"
5,"El Ayuno entre los primeros cristianos Los primeros cristianos no sólo establecieron el ayuno, como costumbre frecuente entre ellos, también exigían la abstención permanente de toda clase de comida de procedencia animal. En la Edad Media los franciscanos fueron los campeones en eso de respetar la vida animal. Consideraban a todos los animales como sus hermanos y amigos y, por lo tanto se abstenían de comerse a sus amigos. El ayuno era muy frecuente entre ellos. Aun hoy día, algunas órdenes rel...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"El Ayuno entre los primeros cristianos Los primeros cristianos no sólo establecieron el ayuno, como costumbre frecuente entre ellos, también exigían la abstención permanente de toda clase de comida de...","La Curación por El Ayuno, s/f"
6,"El Ayuno en El Islam Entre los musulmanes, durante el mes de Ramadán, todos los musulmanes tienen la obligación de ayunar durante 19 días. Este particular método consistía, originalmente, en un ayuno de veinticuatro horas durante esos 19 días. Posteriormente se modificó la práctica del ayuno, permitiendo que la gente consumiera algunas frutas en las noches, entre el ocaso y el amanecer. Absteniéndose de comida y bebida durante las horas diurnas. Con el tiempo, esta práctica terminó convirtiéndos...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"El Ayuno en El Islam Entre los musulmanes, durante el mes de Ramadán, todos los musulmanes tienen la obligación de ayunar durante 19 días. Este particular método consistía, originalmente, en un ayuno ...","La Curación por El Ayuno, s/f"
7,"En los años 60 del siglo XX, mientras hacía mis estudios de psicología, hacíamos experimentos con ratas y llegamos a comprobar que el hambre era una motivación muy poderosa para aprender. Una rata saciada no se interesaba mucho en aprender un laberinto, para encontrar comida, mientras que otra con un día de ayuno lo aprendía fácilmente y mucho más rápido lo hacía aquella que tenía cinco días sin comer. También algunos años antes de esa fecha había comprobado que cuando me presentaba a un examen ...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"En los años 60 del siglo XX, mientras hacía mis estudios de psicología, hacíamos experimentos con ratas y llegamos a comprobar que el hambre era una motivación muy poderosa para aprender. Una rata sac...","La Curación por El Ayuno, s/f"
8,"De acuerdo a estas cifras, aportadas por Cahill y Owen y otros fisiólogos, un humano con estas características, puede vivir 74 días. Algunos órganos, como el cerebro, no pueden utilizar las grasas como combustible directamente y requieren que el organismo convierta proteínas para sintetizar glucosa. Esta persona hipotética, dispone alrededor de 300 g de glucosa, que rinde 4 cal/g o sea 1.200 Kcal., las cuales se agotan en las primeras 24 horas. Nuestro sujeto dispone de 10 a 12 Kg de grasa, la c...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"De acuerdo a estas cifras, aportadas por Cahill y Owen y otros fisiólogos, un humano con estas características, puede vivir 74 días. Algunos órganos, como el cerebro, no pueden utilizar las grasas com...","La Curación por El Ayuno, s/f"
9,"Primera Etapa Según la alopatía, en las primeras de cambio, el organismo no pierde peso, pero entra en hipoglicemia una especie de depresión física, a la que llaman hipoglicemia (nivel bajo de azúcar en la sangre). Los síntomas de hipoglicemia son: agotamiento físico y debilidad (astenia), mareos, sudoración fría, etc. Todo esto ocurrirá, supuestamente, apenas la persona tiene unas horas de ayuno. Por nuestra parte hemos observado que si bien se sufre es porque se despierta el hambre, pero n...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"Primera Etapa Según la alopatía, en las primeras de cambio, el organismo no pierde peso, pero entra en hipoglicemia una especie de depresión física, a la que llaman hipoglicemia (nivel bajo de azú...","La Curación por El Ayuno, s/f"
10,"Segunda Etapa Superadas las primeras 24 a 36 horas, cuando ya están 100% agotadas las reservas de glucosa, comienza la segunda etapa, que se caracteriza por el consumo de la grasa y proteínas. La misma hipoglicemia desencadena los mecanismos que dirigirán el consumo de la grasa en esta 2ª fase del proceso y actuará sobre hipotálamo, terminaciones nerviosas, suprarrenales y páncreas. En esta segunda etapa. La mayoría de las células se adaptan a la -oxidación, es decir, al consumo directo de los ...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"Segunda Etapa Superadas las primeras 24 a 36 horas, cuando ya están 100% agotadas las reservas de glucosa, comienza la segunda etapa, que se caracteriza por el consumo de la grasa y proteínas. La mism...","La Curación por El Ayuno, s/f"
